similar_insutry_id,similar_insutry_name
1,Abrasives and Nonmetallic Minerals Manufacturing
2,Accommodation
3,Accounting
4,Administration of Justice
5,Administrative and Support Services
6,Advertising Services
7,Agricultural Chemical Manufacturing
8,"Agriculture, Construction, Mining Machinery Manufacturing"
9,"Air, Water, and Waste Program Management"
10,Airlines and Aviation
11,Alternative Dispute Resolution
12,Alternative Medicine
13,Ambulance Services
14,Amusement Parks and Arcades
15,Animal Feed Manufacturing
16,Animation and Post-production
17,Apparel Manufacturing
18,"Appliances, Electrical, and Electronics Manufacturing"
19,Architectural and Structural Metal Manufacturing
20,Architecture and Planning
21,Armed Forces
22,Artificial Rubber and Synthetic Fiber Manufacturing
23,Artists and Writers
24,Audio and Video Equipment Manufacturing
25,Automation Machinery Manufacturing
26,Aviation and Aerospace Component Manufacturing
27,Baked Goods Manufacturing
28,Banking
29,"Bars, Taverns, and Nightclubs"
30,"Bed-and-Breakfasts, Hostels, Homestays"
31,Beverage Manufacturing
32,Biomass Electric Power Generation
33,Biotechnology Research
34,Blockchain Services
35,Blogs
36,"Boilers, Tanks, and Shipping Container Manufacturing"
37,Book and Periodical Publishing
38,Book Publishing
39,Breweries
40,Broadcast Media Production and Distribution
41,Building Construction
42,Building Equipment Contractors
43,Building Finishing Contractors
44,Building Structure and Exterior Contractors
45,Business Consulting and Services
46,Business Content
47,Business Intelligence Platforms
48,Cable and Satellite Programming
49,Capital Markets
50,Caterers
51,Chemical Manufacturing
52,Chemical Raw Materials Manufacturing
53,Child Day Care Services
54,Chiropractors
55,Circuses and Magic Shows
56,Civic and Social Organizations
57,Civil Engineering
58,"Claims Adjusting, Actuarial Services"
59,Clay and Refractory Products Manufacturing
60,Coal Mining
61,Collection Agencies
62,Commercial and Industrial Equipment Rental
63,Commercial and Industrial Machinery Maintenance
64,Commercial and Service Industry Machinery Manufacturing
65,Communications Equipment Manufacturing
66,Community Development and Urban Planning
67,Community Services
68,Computer and Network Security
69,Computer Games
70,Computer Hardware Manufacturing
71,Computer Networking Products
72,Computers and Electronics Manufacturing
73,Conservation Programs
74,Construction
75,Construction Hardware Manufacturing
76,Consumer Goods Rental
77,Consumer Services
78,Correctional Institutions
79,Cosmetology and Barber Schools
80,Courts of Law
81,Credit Intermediation
82,Cutlery and Handtool Manufacturing
83,Dairy Product Manufacturing
84,Dance Companies
85,Data Infrastructure and Analytics
86,Data Security Software Products
87,Defense and Space Manufacturing
88,Dentists
89,Design Services
90,Desktop Computing Software Products
91,Distilleries
92,E-Learning Providers
93,Economic Programs
94,Education
95,Education Administration Programs
96,Electric Lighting Equipment Manufacturing
97,Electric Power Generation
98,"Electric Power Transmission, Control, and Distribution"
99,Electrical Equipment Manufacturing
100,Electronic and Precision Equipment Maintenance
101,Embedded Software Products
102,Emergency and Relief Services
103,Engineering Services
104,Engines and Power Transmission Equipment Manufacturing
105,Entertainment Providers
106,Environmental Quality Programs
107,Environmental Services
108,Equipment Rental Services
109,Events Services
110,Executive Offices
111,Executive Search Services
112,Fabricated Metal Products
113,Facilities Services
114,Family Planning Centers
115,Farming
116,"Farming, Ranching, Forestry"
117,Fashion Accessories Manufacturing
118,Financial Services
119,Fine Arts Schools
120,Fire Protection
121,Fisheries
122,Flight Training
123,Food and Beverage Manufacturing
124,Food and Beverage Retail
125,Food and Beverage Services
126,Footwear and Leather Goods Repair
127,Footwear Manufacturing
128,Forestry and Logging
129,Fossil Fuel Electric Power Generation
130,Freight and Package Transportation
131,Fruit and Vegetable Preserves Manufacturing
132,Fundraising
133,Funds and Trusts
134,Furniture and Home Furnishings Manufacturing
135,Gambling Facilities and Casinos
136,Geothermal Electric Power Generation
137,Glass Product Manufacturing
138,"Glass, Ceramics and Concrete Manufacturing"
139,Golf Courses and Country Clubs
140,Government Administration
141,Government Relations Services
142,Graphic Design
143,Ground Passenger Transportation
144,Health and Human Services
145,Higher Education
146,"Highway, Street, and Bridge Construction"
147,Historical Sites
148,Holding Companies
149,Home Health Care Services
150,Horticulture
151,Hospitality
152,Hospitals
153,Hospitals and Health Care
154,Hotels and Motels
155,Household and Institutional Furniture Manufacturing
156,Household Appliance Manufacturing
157,Household Services
158,Housing and Community Development
159,Housing Programs
160,Human Resources Services
161,HVAC and Refrigeration Equipment Manufacturing
162,Hydroelectric Power Generation
163,Individual and Family Services
164,Industrial Machinery Manufacturing
165,Industry Associations
166,Information Services
167,Insurance
168,Insurance Agencies and Brokerages
169,Insurance and Employee Benefit Funds
170,Insurance Carriers
171,Interior Design
172,International Affairs
173,International Trade and Development
174,Internet Marketplace Platforms
175,Internet News
176,Internet Publishing
177,Interurban and Rural Bus Services
178,Investment Advice
179,Investment Banking
180,Investment Management
181,IT Services and IT Consulting
182,IT System Custom Software Development
183,IT System Data Services
184,IT System Design Services
185,IT System Installation and Disposal
186,IT System Operations and Maintenance
187,IT System Testing and Evaluation
188,IT System Training and Support
189,Janitorial Services
190,Landscaping Services
191,Language Schools
192,Laundry and Drycleaning Services
193,Law Enforcement
194,Law Practice
195,Leasing Non-residential Real Estate
196,Leasing Residential Real Estate
197,Leather Product Manufacturing
198,Legal Services
199,Legislative Offices
200,Libraries
201,Lime and Gypsum Products Manufacturing
