product_category_id,category_name
1,Analytics
2,AR/VR
3,Artificial Intelligence
4,B2B Marketplaces
5,Business Services
6,CAD & PLM
7,Collaboration & Productivity
8,Commerce
9,Content Management
10,Customer Service
11,Data Privacy
12,Design
13,Development
14,Digital Advertising
15,Ecosystem Service Providers
16,ERP
17,"Governance, Risk & Compliance"
18,Greentech
19,Hosting
20,HR
21,IoT Management
22,IT Infrastructure
23,IT Management
24,Marketing
25,Marketing Services
26,Office
27,Other Services
28,Professional Services
29,Routers
30,Sales
31,Security
32,Security and Privacy Services
33,Security Hardware
34,Servers
35,Staffing Services
36,Storage
37,Supply Chain & Logistics
38,Switches
39,Translation Services
40,Value-Added Resellers (VARs)
41,Vertical Industry
42,Wireless
